item_id,item_name,,item_alternate_name,is_approved
327,Pearl White Onion,,"Pear,Nashpati,Bartlett",
328,Pearl Yellow Onion,,"Pear,Nashpati,Red Bbartlett",
329,Peppy Tomato Oats,,"Pineapple,ananas",
330,Peruvati,,"Plum,Fruit,Black",
331,Pilau Biryani Masala,,"Red,Plum,Fruit",
332,Pineapple,,"Punica granatum,anar",
333,Pinni Laddu With Dry fruit,,"Rubus idaeus,red raspberry,raspberry,berries",
334,Plain Khichiya Ready To Fry Rice Wafers,,Strawberry,
335,Plum Black,,"Sugar,Cane,Ganna,Guarapo,Guarapa",
336,Plum Red,,"Tamarind, Imli, Chentapandu",
337,Poha Mota,,"Navel Orange,Orange,Santara",
338,Pomegranate,,"Tamarind, Imli, Chentapandu",
339,Pomegranate Peeled,,"orange,Mandarine,mandarin orange,Tangerine",
340,Potato Bag Russet,,Watermelon,
341,Potato Red,,"Papaya,Yelow papaw,Kapoho papaya",
342,Potato Russet,,"ma-prao orn,coconut,young,nariyal",
343,Potato Whites,,"ma-prao orn,coconut,young,nariyal",
344,Premium,,"Amla,gooseberry,nallikai",
345,Premium Ajwain Cookies,,alligator pear,
346,Premium Leaf Tea,,alligator pear,
347,Puffed Rice Ladddu (Puffed Rice Ball),,"Lady Finger banana,Banana",
348,Pulao Masala,,"Gajjar, carrot, carot, gajar, gaajar, gajjar, gajaru, gadda, gajjari, sheema, mullangi, manja, gujjara, gadda, gajaru, gajjari, kyaret, gajara, kerat,,Gajar, Gaajar, Pratiphalam, Carrot",
349,Pumpkin White,,"Banana blossom,Banana,Flower,banana heart",
350,Pumpkin Yellow,,"Plantains,Green Banana,Banana",
351,Punjabi Atta Biscuit,,"Banana,Leaves,Pack,Banana Leaf",
352,Punjabi Garam Masala,,"Chenopodium,Cheel Bhaji,White goosefoot,lamb's quarters, melde, pigweed,fat-hen",
353,Punjabi Gur Atta Biscuit,,,
354,Pure Cane Sugar,,"red beet, table beet, garden beet, just beet,blood turnip",
355,Radish Red,,"green, capsicum, shimla, simla, mirch, mirchi, bell, sweet, pepper, kudai, milagai, bunga, mirapakay, basale, soppu, marchan, mirchan, lanka, bhopli, cayenne, marcha, menasina, kayi, dhobli, kodai, mozhagai,Shimla Mirch, Kapsikam, Capsicum",
356,Rajbhog Mukhwas,,"green, capsicum, shimla, simla, mirch, mirchi, bell, sweet, pepper, kudai, milagai, bunga, mirapakay, basale, soppu, marchan, mirchan, lanka, bhopli, cayenne, marcha, menasina, kayi, dhobli, kodai, mozhagai,Shimla Mirch, Kapsikam, Capsicum",
357,Rajma Chitra,,"red, capsicum, shimla, simla, mirch, mirchi, bell, sweet, pepper, kudai, milagai, bunga, mirapakay, basale, soppu, marchan, mirchan, lanka, bhopli, cayenne, marcha, menasina, kayi, dhobli, kodai, mozhagai,Laal Shimla Mirch, Kapsikam",
358,Rajma Lal,,"yellow,capcicum,shimla,mirchi,mirch,bell pepper,Shimla Mirch, Kapsikam, Capsicum",
359,Rajma Masala,,"Orange,capcicum,shimla,mirchi,mirch,bell pepper,Shimla Mirch, Kapsikam, Capsicum",
360,Rajwadi Mukhwas,,"bottle, gourd, opu, opo, ghia, ghiya, lauki, squash, white, suraikai, dudhi, dhudhi, lau, sorakaya, bhopala, sorekayi, chorakkai, chorrakka, halu, gumbhala, turae, turai, zeeth, calabash,Ghiya, Lau, Oppu",
361,Ram Tori,,"bottle, gourd, opu, opo, ghia, ghiya, lauki, squash, white, suraikai, dudhi, dhudhi, lau, sorakaya, bhopala, sorekayi, chorakkai, chorrakka, halu, gumbhala, turae, turai, zeeth, calabash,Ghiya, Lau, Oppu",
362,Rasam Powder,,"green, broccoli, phool, gobi, chinese, cauliflower, pachchai, poongosu",
363,Ratalu,,"Brassica oleracea,Brussels,Sprouts,",
364,Red Cabbage,,"Gajjar, carrot, carot, gajar, gaajar, gajjar, gajaru, gadda, gajjari, sheema, mullangi, manja, gujjara, gadda, gajaru, gajjari, kyaret, gajara, kerat,,Gajar, Gaajar, Pratiphalam, Carrot",
